## htsjdk.samtools.metrics.StringHeader
# CollectHsMetrics --BAIT_INTERVALS interval/Illumina_Exome_TargetedRegions_v1.2.hg38.interval_list --TARGET_INTERVALS interval/Illumina_Exome_TargetedRegions_v1.2.hg38.interval_list --INPUT post_aligned/ERR2828403_fixed_sorted.bam --OUTPUT metrics/ERR2828403_HsMetrics.txt --REFERENCE_SEQUENCE ../ref/hg38.p14.fa --METRIC_ACCUMULATION_LEVEL ALL_READS --NEAR_DISTANCE 250 --MINIMUM_MAPPING_QUALITY 20 --MINIMUM_BASE_QUALITY 20 --CLIP_OVERLAPPING_READS true --INCLUDE_INDELS false --COVERAGE_CAP 200 --SAMPLE_SIZE 10000 --ALLELE_FRACTION 0.001 --ALLELE_FRACTION 0.005 --ALLELE_FRACTION 0.01 --ALLELE_FRACTION 0.02 --ALLELE_FRACTION 0.05 --ALLELE_FRACTION 0.1 --ALLELE_FRACTION 0.2 --ALLELE_FRACTION 0.3 --ALLELE_FRACTION 0.5 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Jul 01 11:27:27 EDT 2025

## METRICS CLASS	picard.analysis.directed.HsMetrics
BAIT_SET	BAIT_TERRITORY	BAIT_DESIGN_EFFICIENCY	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	TARGET_TERRITORY	GENOME_SIZE	TOTAL_READS	PF_READS	PF_BASES	PF_UNIQUE_READS	PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_TARGET_BASES	PCT_PF_READS	PCT_PF_UQ_READS	PCT_PF_UQ_READS_ALIGNED	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	MIN_TARGET_COVERAGE	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	PCT_TARGET_BASES_250X	PCT_TARGET_BASES_500X	PCT_TARGET_BASES_1000X	PCT_TARGET_BASES_2500X	PCT_TARGET_BASES_5000X	PCT_TARGET_BASES_10000X	PCT_TARGET_BASES_25000X	PCT_TARGET_BASES_50000X	PCT_TARGET_BASES_100000X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
Illumina_Exome_TargetedRegions_v1	45230200	1	2866888164	1597186199	1576420901	0.739025	0.260975	0.642213	63.38438	0.473791	0.388781	34.61941		0	0	0	0	0	0	45230200	3299210039	76170586	76170586	6050959043	76170586	75512137	6040495264	6040495264	2352494957	1	1	0.991356	52.011597	46	1149	0	0.078058	0	0	0.113256	0.012308	0.089777	0.395207	2.60058	0.905518	0.900372	0.871199	0.808113	0.706985	0.582749	0.45874	0.105684	0.001719	0.000046	0.000003	0	0	0	0	0	0	10.426418	1.365391	0.898351	10			

## HISTOGRAM	java.lang.Integer
coverage_or_base_quality	high_quality_coverage_count	unfiltered_baseq_count
0	4273459	0
1	232714	0
2	162545	0
3	145671	0
4	145740	0
5	150622	0
6	159880	0
7	173371	0
8	185086	0
9	196598	0
10	212554	0
11	225077	0
12	240563	12392
13	256491	73629
14	273284	4653855
15	291155	3866153
16	310154	27918618
17	328822	0
18	348786	0
19	366512	0
20	386146	0
21	403202	0
22	419303	851
23	436551	14174
24	452484	286
25	467805	70945
26	481809	6470
27	495669	29477627
28	509365	2392560
29	521703	0
30	531978	22210738
31	538602	23726265
32	551276	10699
33	557979	10732
34	564854	68034125
35	569019	28228022
36	573479	85224655
37	576206	54284748
38	577842	112837366
39	578008	558228435
40	576036	1354885410
41	573344	0
42	572726	0
43	569253	0
44	566856	0
45	561339	0
46	556379	0
47	550370	0
48	543836	0
49	538775	0
50	529404	0
51	523045	0
52	514948	0
53	507562	0
54	498480	0
55	488242	0
56	478810	0
57	470253	0
58	459896	0
59	450735	0
60	441961	0
61	432836	0
62	423370	0
63	413708	0
64	403859	0
65	392446	0
66	383005	0
67	373380	0
68	363622	0
69	354099	0
70	344789	0
71	337141	0
72	328016	0
73	319117	0
74	308541	0
75	300696	0
76	290115	0
77	283224	0
78	276027	0
79	268902	0
80	261440	0
81	254671	0
82	248320	0
83	241103	0
84	234146	0
85	228049	0
86	220772	0
87	214285	0
88	207450	0
89	200274	0
90	195066	0
91	188741	0
92	182796	0
93	177300	0
94	171766	0
95	165604	0
96	162151	0
97	156639	0
98	150693	0
99	147335	0
100	142200	0
101	137289	0
102	133917	0
103	130594	0
104	126255	0
105	123229	0
106	119654	0
107	116096	0
108	112110	0
109	109450	0
110	106590	0
111	103579	0
112	99979	0
113	96221	0
114	92840	0
115	90280	0
116	87577	0
117	85190	0
118	82431	0
119	79967	0
120	77389	0
121	75059	0
122	72316	0
123	70359	0
124	67962	0
125	65725	0
126	64201	0
127	62005	0
128	60517	0
129	58568	0
130	56923	0
131	55111	0
132	53551	0
133	51719	0
134	50404	0
135	48931	0
136	47696	0
137	45915	0
138	44526	0
139	43365	0
140	41812	0
141	40358	0
142	39080	0
143	37795	0
144	36631	0
145	35391	0
146	34214	0
147	33280	0
148	32002	0
149	31204	0
150	30381	0
151	29107	0
152	28294	0
153	27538	0
154	26899	0
155	26334	0
156	25371	0
157	24553	0
158	23989	0
159	23162	0
160	22673	0
161	21910	0
162	21119	0
163	20454	0
164	19678	0
165	19360	0
166	18419	0
167	17898	0
168	17327	0
169	17175	0
170	16432	0
171	16021	0
172	15733	0
173	15062	0
174	14943	0
175	14435	0
176	13834	0
177	13548	0
178	13103	0
179	12877	0
180	12334	0
181	12065	0
182	11788	0
183	11284	0
184	11058	0
185	10737	0
186	10251	0
187	10249	0
188	9876	0
189	9436	0
190	9079	0
191	8994	0
192	8634	0
193	8538	0
194	8142	0
195	7993	0
196	7820	0
197	7650	0
198	7220	0
199	7073	0
200	272785	0

