## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /users/PYS1149/joyita/Geval/post_aligned/SRR11389057_fixed_sorted.bam --OUTPUT /users/PYS1149/joyita/Geval/post_aligned/SRR11389057_fixed_sorted_markdup.bam --METRICS_FILE /users/PYS1149/joyita/Geval/post_aligned/SRR11389057_markdup.txt --REMOVE_DUPLICATES false --ASSUME_SORTED true --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat Apr 05 06:55:10 EDT 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
1	413521	12537285	21262	568411	394544	11114587	0	0.887619	1422910

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	461159	461159
2.0	1.000149	136679	136679
3.0	1.000149	76225	76225
4.0	1.000149	60423	60423
5.0	1.000149	53248	53248
6.0	1.000149	48222	48222
7.0	1.000149	44289	44289
8.0	1.000149	41786	41786
9.0	1.000149	38638	38638
10.0	1.000149	36003	36003
11.0	1.000149	33529	33529
12.0	1.000149	31222	31222
13.0	1.000149	28699	28699
14.0	1.000149	26852	26852
15.0	1.000149	24865	24865
16.0	1.000149	23239	23239
17.0	1.000149	20943	20943
18.0	1.000149	19482	19482
19.0	1.000149	17930	17930
20.0	1.000149	16401	16401
21.0	1.000149	15271	15271
22.0	1.000149	14040	14040
23.0	1.000149	12788	12788
24.0	1.000149	11869	11869
25.0	1.000149	10760	10760
26.0	1.000149	9909	9909
27.0	1.000149	9142	9142
28.0	1.000149	8314	8314
29.0	1.000149	7626	7626
30.0	1.000149	6956	6956
31.0	1.000149	6446	6446
32.0	1.000149	5910	5910
33.0	1.000149	5429	5429
34.0	1.000149	5078	5078
35.0	1.000149	4492	4492
36.0	1.000149	4069	4069
37.0	1.000149	3828	3828
38.0	1.000149	3459	3459
39.0	1.000149	3269	3269
40.0	1.000149	2851	2851
41.0	1.000149	2694	2694
42.0	1.000149	2473	2473
43.0	1.000149	2295	2295
44.0	1.000149	2106	2106
45.0	1.000149	1914	1914
46.0	1.000149	1728	1728
47.0	1.000149	1553	1553
48.0	1.000149	1456	1456
49.0	1.000149	1374	1374
50.0	1.000149	1229	1229
51.0	1.000149	1167	1167
52.0	1.000149	1002	1002
53.0	1.000149	901	901
54.0	1.000149	846	846
55.0	1.000149	733	733
56.0	1.000149	743	743
57.0	1.000149	637	637
58.0	1.000149	603	603
59.0	1.000149	534	534
60.0	1.000149	466	466
61.0	1.000149	439	439
62.0	1.000149	424	424
63.0	1.000149	362	362
64.0	1.000149	324	324
65.0	1.000149	323	323
66.0	1.000149	280	280
67.0	1.000149	245	245
68.0	1.000149	257	257
69.0	1.000149	209	209
70.0	1.000149	193	193
71.0	1.000149	180	180
72.0	1.000149	141	141
73.0	1.000149	166	166
74.0	1.000149	103	103
75.0	1.000149	113	113
76.0	1.000149	111	111
77.0	1.000149	98	98
78.0	1.000149	90	90
79.0	1.000149	78	78
80.0	1.000149	59	59
81.0	1.000149	57	57
82.0	1.000149	55	55
83.0	1.000149	59	59
84.0	1.000149	48	48
85.0	1.000149	45	45
86.0	1.000149	43	43
87.0	1.000149	38	38
88.0	1.000149	36	36
89.0	1.000149	26	26
90.0	1.000149	32	32
91.0	1.000149	21	21
92.0	1.000149	20	20
93.0	1.000149	16	16
94.0	1.000149	21	21
95.0	1.000149	17	17
96.0	1.000149	19	19
97.0	1.000149	18	18
98.0	1.000149	12	12
99.0	1.000149	16	16
100.0	1.000149	7	7
101.0	0	10	10
102.0	0	12	12
103.0	0	5	5
104.0	0	7	7
105.0	0	2	2
106.0	0	4	4
107.0	0	7	7
108.0	0	2	2
109.0	0	3	3
110.0	0	1	1
111.0	0	4	4
112.0	0	3	3
113.0	0	5	5
114.0	0	6	6
115.0	0	4	4
116.0	0	2	2
117.0	0	2	2
118.0	0	1	1
120.0	0	2	2
122.0	0	6	6
124.0	0	2	2
127.0	0	2	2
128.0	0	1	1
131.0	0	1	1
132.0	0	2	2
133.0	0	1	1
139.0	0	1	1
149.0	0	1	1
151.0	0	1	1
152.0	0	1	1
155.0	0	1	1
163.0	0	1	1

