## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates  --INPUT post_aligned/ERR2828403_fixed_sorted.bam --OUTPUT post_aligned/ERR2828403_fixed_sorted_markdup.bam --METRICS_FILE post_aligned/ERR2828403_markdup.txt --CREATE_INDEX true  --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Jun 25 11:17:49 EDT 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
1	533897	37489120	6791	658449	178207	1140249	0	0.03256	603723094

## HISTOGRAM	java.lang.Double
BIN	VALUE	all_sets	non_optical_sets
1.0	1	35229776	35229776
2.0	1.939792	1098507	1098507
3.0	2.823001	20033	20033
4.0	3.653035	544	544
5.0	4.433093	11	11
6.0	5.166186	0	0
7.0	5.855141	0	0
8.0	6.502616	0	0
9.0	7.111107	0	0
10.0	7.682963	0	0
11.0	8.220388	0	0
12.0	8.725456	0	0
13.0	9.200115	0	0
14.0	9.646196	0	0
15.0	10.065419	0	0
16.0	10.459402	0	0
17.0	10.829664	0	0
18.0	11.177633	0	0
19.0	11.504652	0	0
20.0	11.811981	0	0
21.0	12.100807	0	0
22.0	12.372244	0	0
23.0	12.627337	0	0
24.0	12.867073	0	0
25.0	13.092374	0	0
26.0	13.30411	0	0
27.0	13.503098	0	0
28.0	13.690106	0	0
29.0	13.865854	0	0
30.0	14.031021	0	0
31.0	14.186243	0	0
32.0	14.33212	0	0
33.0	14.469214	0	0
34.0	14.598053	0	0
35.0	14.719136	0	0
36.0	14.832928	0	0
37.0	14.939869	0	0
38.0	15.040372	0	0
39.0	15.134824	0	0
40.0	15.223588	0	0
41.0	15.307009	0	0
42.0	15.385407	0	0
43.0	15.459084	0	0
44.0	15.528326	0	0
45.0	15.593399	0	0
46.0	15.654554	0	0
47.0	15.712027	0	0
48.0	15.766039	0	0
49.0	15.8168	0	0
50.0	15.864504	0	0
51.0	15.909337	0	0
52.0	15.95147	0	0
53.0	15.991066	0	0
54.0	16.028278	0	0
55.0	16.06325	0	0
56.0	16.096116	0	0
57.0	16.127004	0	0
58.0	16.156031	0	0
59.0	16.183311	0	0
60.0	16.208949	0	0
61.0	16.233043	0	0
62.0	16.255686	0	0
63.0	16.276966	0	0
64.0	16.296965	0	0
65.0	16.31576	0	0
66.0	16.333423	0	0
67.0	16.350023	0	0
68.0	16.365623	0	0
69.0	16.380284	0	0
70.0	16.394062	0	0
71.0	16.407011	0	0
72.0	16.41918	0	0
73.0	16.430616	0	0
74.0	16.441364	0	0
75.0	16.451465	0	0
76.0	16.460958	0	0
77.0	16.469879	0	0
78.0	16.478263	0	0
79.0	16.486142	0	0
80.0	16.493547	0	0
81.0	16.500506	0	0
82.0	16.507046	0	0
83.0	16.513192	0	0
84.0	16.518968	0	0
85.0	16.524397	0	0
86.0	16.529498	0	0
87.0	16.534293	0	0
88.0	16.538798	0	0
89.0	16.543033	0	0
90.0	16.547012	0	0
91.0	16.550752	0	0
92.0	16.554267	0	0
93.0	16.55757	0	0
94.0	16.560674	0	0
95.0	16.563592	0	0
96.0	16.566333	0	0
97.0	16.56891	0	0
98.0	16.571332	0	0
99.0	16.573607	0	0
100.0	16.575746	0	0

