## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates  --INPUT post_aligned/ERR2828357_fixed_sorted.bam --OUTPUT post_aligned/ERR2828357_fixed_sorted_markdup.bam --METRICS_FILE post_aligned/ERR2828357_markdup.txt --CREATE_INDEX true  --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Jun 25 11:16:48 EDT 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
1	1055136	43779940	27219	1259916	360261	1012071	0	0.026907	932261162

## HISTOGRAM	java.lang.Double
BIN	VALUE	all_sets	non_optical_sets
1.0	1	41773459	41773459
2.0	1.954125	977134	977134
3.0	2.864478	16896	16896
4.0	3.733069	375	375
5.0	4.561813	5	5
6.0	5.352538	0	0
7.0	6.106988	0	0
8.0	6.826827	0	0
9.0	7.513644	0	0
10.0	8.168952	0	0
11.0	8.794198	0	0
12.0	9.390761	0	0
13.0	9.959956	0	0
14.0	10.503039	0	0
15.0	11.021207	0	0
16.0	11.515605	0	0
17.0	11.987322	0	0
18.0	12.437398	0	0
19.0	12.866827	0	0
20.0	13.276556	0	0
21.0	13.667489	0	0
22.0	14.040487	0	0
23.0	14.396374	0	0
24.0	14.735934	0	0
25.0	15.059917	0	0
26.0	15.369037	0	0
27.0	15.663976	0	0
28.0	15.945385	0	0
29.0	16.213884	0	0
30.0	16.470065	0	0
31.0	16.714494	0	0
32.0	16.947709	0	0
33.0	17.170226	0	0
34.0	17.382535	0	0
35.0	17.585104	0	0
36.0	17.77838	0	0
37.0	17.962789	0	0
38.0	18.138739	0	0
39.0	18.306617	0	0
40.0	18.466793	0	0
41.0	18.619621	0	0
42.0	18.765438	0	0
43.0	18.904566	0	0
44.0	19.037311	0	0
45.0	19.163967	0	0
46.0	19.284812	0	0
47.0	19.400113	0	0
48.0	19.510125	0	0
49.0	19.61509	0	0
50.0	19.715239	0	0
51.0	19.810794	0	0
52.0	19.901966	0	0
53.0	19.988955	0	0
54.0	20.071953	0	0
55.0	20.151144	0	0
56.0	20.226702	0	0
57.0	20.298794	0	0
58.0	20.367578	0	0
59.0	20.433207	0	0
60.0	20.495825	0	0
61.0	20.555571	0	0
62.0	20.612575	0	0
63.0	20.666965	0	0
64.0	20.718859	0	0
65.0	20.768373	0	0
66.0	20.815615	0	0
67.0	20.86069	0	0
68.0	20.903697	0	0
69.0	20.944731	0	0
70.0	20.983883	0	0
71.0	21.021239	0	0
72.0	21.056881	0	0
73.0	21.090887	0	0
74.0	21.123334	0	0
75.0	21.154292	0	0
76.0	21.183831	0	0
77.0	21.212013	0	0
78.0	21.238904	0	0
79.0	21.26456	0	0
80.0	21.289039	0	0
81.0	21.312396	0	0
82.0	21.334681	0	0
83.0	21.355943	0	0
84.0	21.376231	0	0
85.0	21.395587	0	0
86.0	21.414056	0	0
87.0	21.431677	0	0
88.0	21.44849	0	0
89.0	21.464531	0	0
90.0	21.479837	0	0
91.0	21.494441	0	0
92.0	21.508374	0	0
93.0	21.521669	0	0
94.0	21.534353	0	0
95.0	21.546456	0	0
96.0	21.558003	0	0
97.0	21.569021	0	0
98.0	21.579533	0	0
99.0	21.589563	0	0
100.0	21.599133	0	0

