## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates  --INPUT post_aligned/ERR2828408_fixed_sorted.bam --OUTPUT post_aligned/ERR2828408_fixed_sorted_markdup.bam --METRICS_FILE post_aligned/ERR2828408_markdup.txt --CREATE_INDEX true  --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Jun 25 11:19:39 EDT 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
1	396521	39766433	7269	488925	139122	1346155	0	0.035424	574033551

## HISTOGRAM	java.lang.Double
BIN	VALUE	all_sets	non_optical_sets
1.0	1	37110184	37110184
2.0	1.93307	1275164	1275164
3.0	2.803689	33829	33829
4.0	3.616037	1073	1073
5.0	4.374014	27	27
6.0	5.08126	0	0
7.0	5.741169	1	1
8.0	6.35691	0	0
9.0	6.93144	0	0
10.0	7.467516	0	0
11.0	7.967713	0	0
12.0	8.434431	0	0
13.0	8.869911	0	0
14.0	9.276245	0	0
15.0	9.655382	0	0
16.0	10.009144	0	0
17.0	10.339228	0	0
18.0	10.64722	0	0
19.0	10.934597	0	0
20.0	11.202741	0	0
21.0	11.452937	0	0
22.0	11.686388	0	0
23.0	11.904214	0	0
24.0	12.10746	0	0
25.0	12.297103	0	0
26.0	12.474054	0	0
27.0	12.639161	0	0
28.0	12.793217	0	0
29.0	12.936962	0	0
30.0	13.071087	0	0
31.0	13.196234	0	0
32.0	13.313005	0	0
33.0	13.421961	0	0
34.0	13.523624	0	0
35.0	13.618483	0	0
36.0	13.706993	0	0
37.0	13.789579	0	0
38.0	13.866637	0	0
39.0	13.938538	0	0
40.0	14.005626	0	0
41.0	14.068225	0	0
42.0	14.126633	0	0
43.0	14.181132	0	0
44.0	14.231984	0	0
45.0	14.279432	0	0
46.0	14.323704	0	0
47.0	14.365013	0	0
48.0	14.403558	0	0
49.0	14.439522	0	0
50.0	14.47308	0	0
51.0	14.504391	0	0
52.0	14.533607	0	0
53.0	14.560867	0	0
54.0	14.586303	0	0
55.0	14.610036	0	0
56.0	14.632181	0	0
57.0	14.652844	0	0
58.0	14.672124	0	0
59.0	14.690113	0	0
60.0	14.706898	0	0
61.0	14.72256	0	0
62.0	14.737174	0	0
63.0	14.750809	0	0
64.0	14.763532	0	0
65.0	14.775403	0	0
66.0	14.78648	0	0
67.0	14.796816	0	0
68.0	14.806459	0	0
69.0	14.815457	0	0
70.0	14.823853	0	0
71.0	14.831687	0	0
72.0	14.838997	0	0
73.0	14.845818	0	0
74.0	14.852181	0	0
75.0	14.858119	0	0
76.0	14.86366	0	0
77.0	14.86883	0	0
78.0	14.873653	0	0
79.0	14.878154	0	0
80.0	14.882354	0	0
81.0	14.886273	0	0
82.0	14.889929	0	0
83.0	14.89334	0	0
84.0	14.896524	0	0
85.0	14.899494	0	0
86.0	14.902265	0	0
87.0	14.904851	0	0
88.0	14.907264	0	0
89.0	14.909515	0	0
90.0	14.911616	0	0
91.0	14.913576	0	0
92.0	14.915405	0	0
93.0	14.917111	0	0
94.0	14.918703	0	0
95.0	14.920189	0	0
96.0	14.921575	0	0
97.0	14.922869	0	0
98.0	14.924076	0	0
99.0	14.925202	0	0
100.0	14.926252	0	0

