## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates  --INPUT post_aligned/ERR2828368_fixed_sorted.bam --OUTPUT post_aligned/ERR2828368_fixed_sorted_markdup.bam --METRICS_FILE post_aligned/ERR2828368_markdup.txt --CREATE_INDEX true  --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Jun 25 11:22:56 EDT 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
1	1025569	44350215	9455	1258655	351407	1081005	0	0.028012	894930247

## HISTOGRAM	java.lang.Double
BIN	VALUE	all_sets	non_optical_sets
1.0	1	42206161	42206161
2.0	1.951651	1045470	1045470
3.0	2.85729	17203	17203
4.0	3.719142	375	375
5.0	4.539324	1	1
6.0	5.319851	0	0
7.0	6.062641	0	0
8.0	6.769516	0	0
9.0	7.442215	0	0
10.0	8.08239	0	0
11.0	8.691612	0	0
12.0	9.271379	0	0
13.0	9.823115	0	0
14.0	10.348175	0	0
15.0	10.847848	0	0
16.0	11.323363	0	0
17.0	11.775887	0	0
18.0	12.206531	0	0
19.0	12.616355	0	0
20.0	13.006363	0	0
21.0	13.377515	0	0
22.0	13.730722	0	0
23.0	14.066852	0	0
24.0	14.38673	0	0
25.0	14.691143	0	0
26.0	14.980837	0	0
27.0	15.256525	0	0
28.0	15.518883	0	0
29.0	15.768557	0	0
30.0	16.006159	0	0
31.0	16.232273	0	0
32.0	16.447455	0	0
33.0	16.652232	0	0
34.0	16.847109	0	0
35.0	17.032564	0	0
36.0	17.209052	0	0
37.0	17.377008	0	0
38.0	17.536842	0	0
39.0	17.688949	0	0
40.0	17.833701	0	0
41.0	17.971455	0	0
42.0	18.102549	0	0
43.0	18.227304	0	0
44.0	18.346028	0	0
45.0	18.459011	0	0
46.0	18.566531	0	0
47.0	18.668853	0	0
48.0	18.766228	0	0
49.0	18.858895	0	0
50.0	18.947082	0	0
51.0	19.031004	0	0
52.0	19.11087	0	0
53.0	19.186873	0	0
54.0	19.259202	0	0
55.0	19.328034	0	0
56.0	19.393538	0	0
57.0	19.455875	0	0
58.0	19.515198	0	0
59.0	19.571653	0	0
60.0	19.625378	0	0
61.0	19.676506	0	0
62.0	19.725161	0	0
63.0	19.771464	0	0
64.0	19.815529	0	0
65.0	19.857463	0	0
66.0	19.897369	0	0
67.0	19.935346	0	0
68.0	19.971487	0	0
69.0	20.005881	0	0
70.0	20.038611	0	0
71.0	20.069759	0	0
72.0	20.099401	0	0
73.0	20.12761	0	0
74.0	20.154455	0	0
75.0	20.180003	0	0
76.0	20.204314	0	0
77.0	20.227451	0	0
78.0	20.249469	0	0
79.0	20.270422	0	0
80.0	20.290362	0	0
81.0	20.309338	0	0
82.0	20.327397	0	0
83.0	20.344583	0	0
84.0	20.360937	0	0
85.0	20.376501	0	0
86.0	20.391312	0	0
87.0	20.405408	0	0
88.0	20.418821	0	0
89.0	20.431587	0	0
90.0	20.443735	0	0
91.0	20.455295	0	0
92.0	20.466297	0	0
93.0	20.476767	0	0
94.0	20.48673	0	0
95.0	20.496212	0	0
96.0	20.505236	0	0
97.0	20.513823	0	0
98.0	20.521995	0	0
99.0	20.529772	0	0
100.0	20.537173	0	0

